Category	Descript
bug	Pool bar shuts at 7pm and there wasn't any entertainment to offer if you wanted to have a few drinks at the resort and if you did won't any kind of entertainment you half to travel 2o min to seminyak or kuta so its a very dull atmosphere at night and food was expensive for the size portions you get could of at least give bigger portions if wont to charge that price
other	it is a small size software but it is a good photo editor as compared to others
other	The staff made us feel welcomed and appreciated.
other	A very hearty welcome was provided by staff, who provided top level service throughout.
other	IF you arrive to CDG AirPort take the RER to Chatelet Les Halles.
bug	Trash
other	16 then they all girl will be in FIFA 16 and mans too
other	There are three type of taxes which mainly used in India in amount:
bug	The food at the "Welcome Home Reception" was sparse and unappetizing.
other	I like to play Jame bond all the time.
bug	I absolutely hate what this new update did to Skype's overall look.
bug	Because of that and the disregard for their other guests I will not be staying here again.
bug	Simply ugly and not used friendly!
other	So if u made it to the eight battle than retired your magickarp the next gen would start at five not at one.
other	This game makes time go by super fast and I love it
bug	I would have preferred to be informed at time of booking.
other	It is close to two transit lines, a farmer's market, and within walking distance to Luxembourg Palace.
request	The only thing I'd have to say is that it'd be nice to have lounge chairs around the pool instead of bean bag chairs.
other	Then I stumbled across this stunning, heavenly app.
bug	Very big and noisy hotel with people coming and going at all hours.
other	I have stayed few best hotels and this is one to them.
bug	Cleaning service either didn't knock at all or barely tapped the door and entered the room.
bug	Majority of my followers don't even see my stuff anymore.
other	I cannot fault it
other	A lot of people told me that the hotels are very small and old in Paris.
other	Great emulator, I love it!
request	They could invest to make the sea better for swimming.
other	We have stayed @ Hotel du College 5-6 times and we are always so pleased with our room, service - so friendly & helpful!
bug	they just took out a bunch of small things that were enjoyable.
other	Great app!
other	Located half a block from Plaza Catalunya, we walked the entire city from Park Guell to the beach and everything in between.
bug	Takes 2-3 weeks just to get the item from the warehouse into shipping.
bug	Needs badly updating.
other	Licence key required!!!!!
bug	Really feel like I'm missing out on half of the experience of the app.
other	However it was cleaned on the second day of my stay.
other	Until I ran RegCleaner!
bug	Th room was much smaller than the photo image we saw.
other	For the astronomical room rate I expect perfection in a hotel of this sort.
bug	Major technical fault in app.
other	Now we can make the exciting choice between an obituary and unicorn puke.
request	App is user friendly, but I would like to have the TOTAL price included.
other	App is user friendly, but I would like to have the TOTAL price included.
bug	Does Not record Drops most of background
other	it was located in Rambla street, the most popular street in Barcelona.
bug	This is horrible!!
other	We were in town last week for business and had 3 rooms booked.
bug	After the long travel we were exhausted to get the room..
other	Easy to use Creator without the additional watermarks or ads.
other	I used it once and it interested me so much, so I brows all interesting things with it and don't think I can continue without it.
other	Stylish, calm, large, silent rooms.
other	For us there was nothing to dislike about this hotel!
other	That is exactly what I found here.
other	Very quiet and great staff, and even great advice from a friendly coach driver who was having breakfast there the next morning.
other	I love it because it is very fun to win I like to play it all day.
bug	They sent us to the tip of nusa dua where they arrange water sports : the place is the most utterly disgusting beach with tons of boats and oil in the sea: bottom line you would not send there your worst enemy.
